,image,pt0,pt1,template
174,DL358e.png,39.7787610619,35.5172413793,u.png
175,DL358e.png,39.7787610619,35.5603448276,u.png
176,DL358e.png,69.3362831858,16.5948275862,a.png
177,DL359e.png,27.3451327434,30.2155172414,u.png
178,DL359e.png,27.3451327434,30.2586206897,u.png
179,DL359e.png,27.3451327434,30.3017241379,u.png
180,DL359e.png,26.0619469027,31.2931034483,u.png
181,DL359e.png,26.0619469027,31.3362068966,u.png
182,DL359e.png,26.0619469027,31.3793103448,u.png
183,DL359e.png,27.3451327434,30.3017241379,a.png
184,DL359e.png,26.0619469027,31.3793103448,a.png
185,DL363e.png,-12.6991150442,21.3362068966,u.png
186,DL363e.png,-14.6460176991,25.3879310345,u.png
187,DL363e.png,-14.6902654867,23.4913793103,a.png
188,DL363e.png,-13.6725663717,23.4913793103,a.png
189,DL363e.png,-13.7168141593,24.525862069,a.png
190,DL363e.png,-13.6725663717,24.525862069,a.png
191,DL363e.png,-14.6902654867,24.525862069,d.png
192,DL363e.png,-14.6460176991,24.525862069,d.png
193,DL363e.png,-14.6017699115,24.525862069,d.png
194,DL355e.png,-4.91150442478,11.724137931,u.png
195,DL355e.png,5.61946902655,25.3879310345,u.png
196,DL355e.png,41.1061946903,33.0172413793,u.png
197,DL355e.png,41.1061946903,33.9224137931,u.png
198,DL355e.png,37.2566371681,37.025862069,b.png
199,DL355e.png,36.1946902655,38.0603448276,b.png
200,DL355e.png,36.2389380531,38.0603448276,b.png
201,DL355e.png,2.96460176991,17.3275862069,a.png
202,DL355e.png,3.00884955752,17.3275862069,a.png
203,DL355e.png,29.4690265487,22.5,a.png
204,DL355e.png,29.5132743363,22.5,a.png
205,DL356e.png,-2.87610619469,10.7327586207,u.png
206,DL356e.png,-2.87610619469,10.775862069,u.png
207,DL356e.png,3.67256637168,18.4482758621,u.png
208,DL356e.png,1.72566371681,19.3534482759,u.png
209,DL356e.png,1.72566371681,19.3965517241,u.png
210,DL356e.png,42.2123893805,27.6724137931,u.png
211,DL356e.png,1.15044247788,15.8620689655,d.png
212,DL356e.png,1.19469026549,15.8620689655,d.png
213,DL356e.png,1.2389380531,15.8620689655,d.png
214,DL356e.png,1.72566371681,18.4913793103,d.png
215,DL356e.png,1.76991150442,18.4913793103,d.png
216,DL356e.png,1.81415929204,18.4913793103,d.png
217,DL360e.png,-6.99115044248,27.1551724138,u.png
218,DL360e.png,28.3628318584,28.6637931034,u.png
219,DL360e.png,30.3982300885,29.525862069,u.png
220,DL357e.png,3.67256637168,17.2844827586,u.png
221,DL357e.png,3.62831858407,18.4051724138,a.png
222,DL357e.png,3.67256637168,18.4051724138,a.png
223,DL366e.png,46.1061946903,29.4827586207,c.png
224,DL366e.png,42.3008849558,32.9310344828,c.png
225,DL366e.png,39.203539823,23.4913793103,d.png
226,DL366e.png,39.2477876106,23.4913793103,d.png
227,DL366e.png,40.1769911504,23.5344827586,d.png
228,DL366e.png,40.2212389381,23.5344827586,d.png
229,DL366e.png,40.2654867257,23.5344827586,d.png
230,DL366e.png,46.1061946903,29.4827586207,s.png
231,DL366e.png,42.3008849558,32.9310344828,s.png
232,DL370e.png,-4.86725663717,11.6810344828,u.png
233,DL370e.png,-4.86725663717,11.724137931,u.png
234,DL370e.png,-3.84955752212,11.724137931,u.png
235,DL370e.png,29.4247787611,22.4137931034,u.png
236,DL370e.png,29.4247787611,23.3189655172,u.png
237,DL370e.png,29.4247787611,23.3620689655,u.png
238,DL370e.png,28.407079646,30.6896551724,u.png
239,DL370e.png,-1.81415929204,9.91379310345,c.png
240,DL370e.png,-8.00884955752,12.8879310345,c.png
241,DL370e.png,-1.81415929204,9.91379310345,a.png
242,DL370e.png,-8.00884955752,12.8879310345,a.png
243,DL371e.png,41.2389380531,26.4655172414,u.png
244,DL371e.png,41.2389380531,26.5086206897,u.png
245,DL371e.png,30.5309734513,27.6293103448,u.png
246,DL371e.png,30.5309734513,27.6724137931,u.png
247,DL371e.png,28.407079646,29.5689655172,u.png
248,DL371e.png,-11.9911504425,23.5344827586,d.png
249,DL371e.png,-11.9469026549,23.5344827586,d.png
250,DL371e.png,-11.9026548673,23.5344827586,d.png
251,DL367e.png,63.3628318584,13.8793103448,u.png
252,DL367e.png,63.3628318584,13.9224137931,u.png
253,DL367e.png,61.3716814159,16.1206896552,u.png
254,DL367e.png,61.3716814159,16.1637931034,u.png
255,DL367e.png,-9.95575221239,16.2931034483,u.png
256,DL367e.png,7.43362831858,18.3189655172,u.png
257,DL367e.png,36.9469026549,24.525862069,u.png
258,DL367e.png,36.9469026549,24.5689655172,u.png
259,DL367e.png,43.0088495575,28.7068965517,b.png
260,DL367e.png,43.0530973451,28.7068965517,b.png
261,DL367e.png,46.2389380531,28.75,b.png
