Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/3/15,7/3/15,0.019478444,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/4/15,7/4/15,0.017979362,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/5/15,7/5/15,0.023954797,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/6/15,7/6/15,0.027304699,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/7/15,7/7/15,0.037550513,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/8/15,7/8/15,0.040337495,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/9/15,7/9/15,0.039736532,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/10/15,7/10/15,0.029726054,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/11/15,7/11/15,0.033519081,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/12/15,7/12/15,0.03208584,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/13/15,7/13/15,0.022792657,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/14/15,7/14/15,0.022494373,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/15/15,7/15/15,0.022769083,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/16/15,7/16/15,0.024656397,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/17/15,7/17/15,0.02111225,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/18/15,7/18/15,0.018917895,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/19/15,7/19/15,0.018993173,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/20/15,7/20/15,0.020174762,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/21/15,7/21/15,0.02025211,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/22/15,7/22/15,0.01831469,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/23/15,7/23/15,0.017204544,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/24/15,7/24/15,0.017677002,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/25/15,7/25/15,0.019828883,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/26/15,7/26/15,0.027821283,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/27/15,7/27/15,0.027149087,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/28/15,7/28/15,0.023007477,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/29/15,7/29/15,0.024080656,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/30/15,7/30/15,0.023099468,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,7/31/15,7/31/15,0.046711716,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,8/1/15,8/1/15,0.046334037,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,8/2/15,8/2/15,0.042041936,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,8/3/15,8/3/15,0.036233286,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,8/4/15,8/4/15,0.038437729,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,8/5/15,8/5/15,0.051425331,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Mauritania,,cubic meters per cubic meters,daily,8/6/15,8/6/15,0.051744433,"SMOS,Gro Intelligence"
