Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/25/15,7/25/15,0.16081479,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/26/15,7/26/15,0.164651678,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/27/15,7/27/15,0.149255902,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/28/15,7/28/15,0.136242076,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/29/15,7/29/15,0.135569853,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/30/15,7/30/15,0.122042215,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,7/31/15,7/31/15,0.114153534,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/1/15,8/1/15,0.112864328,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/2/15,8/2/15,0.11868336,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/3/15,8/3/15,0.118446341,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/4/15,8/4/15,0.126750504,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/5/15,8/5/15,0.149452654,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/6/15,8/6/15,0.12175256,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/7/15,8/7/15,0.093313163,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/8/15,8/8/15,0.092470686,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/9/15,8/9/15,0.078026851,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Africa,,cubic meters per cubic meters,daily,8/10/15,8/10/15,0.078158251,"SMOS,Gro Intelligence"
