Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/16/15,7/16/15,0.075303573,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/17/15,7/17/15,0.07519927,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/18/15,7/18/15,0.066980517,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/19/15,7/19/15,0.065628836,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/20/15,7/20/15,0.065915779,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/21/15,7/21/15,0.087527619,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/22/15,7/22/15,0.087497806,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/23/15,7/23/15,0.077679182,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/24/15,7/24/15,0.082486455,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/25/15,7/25/15,0.08264558,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/26/15,7/26/15,0.101028941,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/27/15,7/27/15,0.101247106,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/28/15,7/28/15,0.090827683,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/29/15,7/29/15,0.106812063,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/30/15,7/30/15,0.106805249,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,7/31/15,7/31/15,0.111248318,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/1/15,8/1/15,0.111621324,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/2/15,8/2/15,0.098515393,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/3/15,8/3/15,0.082580271,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/4/15,8/4/15,0.082569964,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/5/15,8/5/15,0.083055491,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/6/15,8/6/15,0.082676357,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/7/15,8/7/15,0.082168572,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/8/15,8/8/15,0.114536598,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/9/15,8/9/15,0.114656161,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/10/15,8/10/15,0.099793376,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/11/15,8/11/15,0.090106648,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/12/15,8/12/15,0.089784767,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/13/15,8/13/15,0.10842797,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/14/15,8/14/15,0.108303628,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/15/15,8/15/15,0.111700503,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/16/15,8/16/15,0.111502828,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/17/15,8/17/15,0.111348448,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/18/15,8/18/15,0.138983037,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/19/15,8/19/15,0.142361947,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/20/15,8/20/15,0.122484514,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/21/15,8/21/15,0.085625549,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/22/15,8/22/15,0.085614135,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/23/15,8/23/15,0.113853814,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/24/15,8/24/15,0.130564369,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/25/15,8/25/15,0.126998836,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/26/15,8/26/15,0.119132774,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/27/15,8/27/15,0.119301112,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/28/15,8/28/15,0.117291522,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/29/15,8/29/15,0.107563362,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Chad,,cubic meters per cubic meters,daily,8/30/15,8/30/15,0.106098611,"SMOS,Gro Intelligence"
