Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/5/15,7/5/15,0.240637581,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/6/15,7/6/15,0.209768898,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/7/15,7/7/15,0.189486086,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/8/15,7/8/15,0.189327215,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/9/15,7/9/15,0.169147012,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/10/15,7/10/15,0.171648247,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/11/15,7/11/15,0.159076046,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/12/15,7/12/15,0.174725101,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/13/15,7/13/15,0.174961399,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/14/15,7/14/15,0.150754188,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/15/15,7/15/15,0.174474908,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/16/15,7/16/15,0.173622944,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/17/15,7/17/15,0.179384207,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/18/15,7/18/15,0.179000284,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/19/15,7/19/15,0.192744609,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/20/15,7/20/15,0.249338188,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/21/15,7/21/15,0.243325188,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/22/15,7/22/15,0.238616177,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/23/15,7/23/15,0.250035394,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/24/15,7/24/15,0.245438865,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/25/15,7/25/15,0.234025449,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/26/15,7/26/15,0.233847565,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,South Sudan,,cubic meters per cubic meters,daily,7/27/15,7/27/15,0.235989168,"SMOS,Gro Intelligence"
