Metric,Item,Region,Partner Region,Unit,Frequency,Start Date,End Date,Value,Sources
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/17/15,8/17/15,0.248622366,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/18/15,8/18/15,0.251119415,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/19/15,8/19/15,0.234055125,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/20/15,8/20/15,0.267869031,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/21/15,8/21/15,0.267869031,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/22/15,8/22/15,0.242207974,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/23/15,8/23/15,0.239592866,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/24/15,8/24/15,0.226987189,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/25/15,8/25/15,0.259034917,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/26/15,8/26/15,0.259324115,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/27/15,8/27/15,0.236760319,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/28/15,8/28/15,0.264912872,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/29/15,8/29/15,0.262437091,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/30/15,8/30/15,0.267309863,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,8/31/15,8/31/15,0.27356917,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/1/15,9/1/15,0.257650854,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/2/15,9/2/15,0.290356115,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/3/15,9/3/15,0.290235639,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/4/15,9/4/15,0.295225448,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/5/15,9/5/15,0.301133118,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/6/15,9/6/15,0.268357919,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/7/15,9/7/15,0.275584191,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/8/15,9/8/15,0.275584191,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/9/15,9/9/15,0.27121406,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/10/15,9/10/15,0.270971897,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/11/15,9/11/15,0.246294607,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/12/15,9/12/15,0.243301384,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/13/15,9/13/15,0.243276952,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/14/15,9/14/15,0.236792221,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/15/15,9/15/15,0.257584939,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/16/15,9/16/15,0.257584939,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/17/15,9/17/15,0.299437331,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/18/15,9/18/15,0.301487211,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/19/15,9/19/15,0.254686861,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/20/15,9/20/15,0.247648675,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/21/15,9/21/15,0.246955337,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/22/15,9/22/15,0.26537888,"SMOS,Gro Intelligence"
Soil Moisture,Soil moisture,Nigeria,,cubic meters per cubic meters,daily,9/23/15,9/23/15,0.268028741,"SMOS,Gro Intelligence"
